,ProteinMPNN
4413_70_243,-1.3079
4413_70_55,-1.3394
4413_70_966,-1.321
4413,-1.3258
4413_50_25,-1.4955
4413_70_499,-1.2452
4413_70_764,-1.2898
4413_70_246,-1.3354
4413_70_924,-1.3472
4413_70_843,-1.3394
4413_50_868,-1.4234
4413_50_541,-1.4025
4413_70_726,-1.2732
4413_70_519,-1.346
4413_80_167,-1.3248
4413_70_881,-1.3599
4413_70_116,-1.3016
4413_70_731,-1.3578
4413_70_733,-1.3662
4413_70_795,-1.3891
4413_70_722,-1.3465
4413_70_974,-1.3127
4413_70_632,-1.2991
4413_70_144,-1.3144
4413_70_35,-1.3527
4413_70_195,-1.2938
4413_70_29,-1.2986
4413_70_97,-1.2942
4413_70_384,-1.3845
4413_50_120,-1.4169
4413_70_200,-1.3315
4413_70_300,-1.3349
4413_70_623,-1.3209
4413_70_907,-1.3402
4413_70_818,-1.2763
4413_70_488,-1.3238
4413_50_794,-1.4407
4413_50_788,-1.538
4413_70_316,-1.3481
4413_50_443,-1.4718
4413_80_580,-1.3051
4413_50_580,-1.4663
4413_80_105,-1.3035
4413_70_197,-1.3706
4413_70_729,-1.2808
4413_70_750,-1.375
4413_70_793,-1.3428
4413_70_76,-1.3388
4413_70_342,-1.3518
4413_70_955,-1.3715
4413_70_884,-1.2609
4413_70_725,-1.3097
4413_70_369,-1.3318
4413_70_763,-1.3725
4413_50_135,-1.4603
4413_50_960,-1.5742
4413_70_690,-1.3606
4413_70_739,-1.3502
4413_70_386,-1.3549
4413_70_431,-1.2673
4413_70_494,-1.378
4413_70_770,-1.3646
4413_70_234,-1.3842
4413_50_724,-1.4762
4413_70_408,-1.3329
4413_70_838,-1.2859
4413_70_490,-1.3318
4413_70_205,-1.3162
4413_70_244,-1.3241
4413_70_393,-1.3081
4413_70_391,-1.3577
4413_80_220,-1.2701
4413_50_274,-1.4419
4413_50_204,-1.5353
4413_70_713,-1.3471
4413_70_958,-1.3404
4413_50_801,-1.4455
4413_80_906,-1.2628
4413_70_227,-1.3337
4413_70_225,-1.3382
4413_50_55,-1.4667
4413_50_648,-1.4849
4413_70_317,-1.3407
4413_70_214,-1.3326
4413_50_871,-1.4276
4413_70_817,-1.294
4413_50_255,-1.4531
4413_70_565,-1.3744
4413_70_307,-1.2821
4413_50_252,-1.5151
4413_50_829,-1.4384
4413_50_239,-1.4774
4413_70_422,-1.367
4413_50_283,-1.3797
4413_70_535,-1.259
4413_80_791,-1.2685
4413_70_212,-1.3397
4413_70_330,-1.3484
4413_70_947,-1.2818
4413_50_119,-1.4207
4413_70_481,-1.2735
4413_80_827,-1.3325
4413_50_38,-1.4782
4413_70_788,-1.3364
4413_70_935,-1.3102
4413_50_708,-1.4697
4413_70_758,-1.3034
4413_70_677,-1.3164
4413_70_820,-1.3704
4413_50_703,-1.3987
4413_50_112,-1.5583
4413_70_527,-1.3056
4413_70_525,-1.3031
4413_70_374,-1.3379
4413_70_396,-1.3506
4413_70_93,-1.2475
4413_70_57,-1.3254
4413_70_121,-1.3523
4413_70_346,-1.3417
4413_70_545,-1.3192
4413_70_551,-1.2981
4413_80_785,-1.2667
4413_70_598,-1.269
4413_70_814,-1.3707
4413_70_359,-1.2681
4413_70_51,-1.3064
4413_70_824,-1.3665
4413_70_134,-1.3335
4413_70_110,-1.3218
4413_50_62,-1.4744
4413_50_217,-1.3768
4413_70_689,-1.3918
4413_50_597,-1.4637
4413_50_349,-1.4248
4413_50_193,-1.447
4413_70_401,-1.3328
4413_70_756,-1.3259
4413_70_26,-1.3229
4413_50_631,-1.4717
4413_50_245,-1.3854
4413_50_30,-1.4546
4413_80_701,-1.2779
4413_70_487,-1.348
4413_70_533,-1.36
4413_50_985,-1.5151
4413_70_723,-1.3397
4413_50_473,-1.4187
4413_50_891,-1.4583
4413_70_891,-1.3
4413_70_821,-1.343
4413_50_663,-1.4789
4413_70_747,-1.2868
4413_70_398,-1.3551
4413_70_702,-1.3666
4413_70_350,-1.347
4413_90_997,-1.2218
4413_70_435,-1.3346
4413_70_276,-1.3316
4413_70_510,-1.241
4413_70_453,-1.3067
4413_70_917,-1.362
4413_80_140,-1.3065
4413_70_16,-1.2758
4413_70_347,-1.3292
4413_70_6,-1.3547
4413_70_260,-1.3352
4413_50_203,-1.4513
4413_70_267,-1.2874
4413_70_910,-1.3428
4413_70_13,-1.3017
4413_50_504,-1.4911
4413_50_718,-1.4561
4413_70_315,-1.2835
4413_50_260,-1.4497
4413_70_126,-1.3048
4413_70_288,-1.3046
4413_70_587,-1.3661
4413_70_45,-1.3827
4413_70_289,-1.3014
4413_80_478,-1.2922
4413_50_88,-1.4737
4413_70_174,-1.3178
4413_70_508,-1.3198
4413_70_664,-1.3235
4413_70_926,-1.3811
4413_70_106,-1.3544
4413_70_740,-1.3498
4413_50_755,-1.4405
4413_70_187,-1.3478
4413_70_358,-1.2769
4413_70_352,-1.3519
4413_70_30,-1.2655
4413_70_707,-1.3391
4413_70_705,-1.3854
4413_70_378,-1.3228
4413_80_72,-1.2344
4413_70_159,-1.3187
4413_70_995,-1.3501
4413_70_180,-1.2963
4413_70_123,-1.377
4413_50_729,-1.4663
